"title","Application déployée","Phase d'avancement","Statut","date Kick-off Interne","Code groupe DISE","Portail existant","date modelisation","date set up EWOCS/YODA","date set up MWM","date set up FUM par CDP","Renouvellement","date Formation Accès Interne","date Pilote Usage Interne","date Kick off Externe","application déployée","Chef de projet","date Formation Accès Externe","Nombres de lignes","date Pilote Usage Externe","date Vie de Solution","is archived"
"BNPP","EWOCS, EWOCS","En vie de solution","Terminé","2020-01-20","010934","","2020-01-27","","","","Renouvellement","","","2020-03-10","EWOCS, EWOCS","Zohra Abdelmalek","","","","2020-03-10","False"
"FACETCA","MWM, MWM","Pipe déploiement","Actif ","","","","","","","","","","","","MWM, MWM","Nathalie Marescot","","","","","True"
"FT UCIDF","MWM, MWM","","","","","","","","","","","","","","MWM, MWM","","","","","","True"
"M6","MWM","En vie de solution","Actif ","2020-11-24","010074","","2021-02-10","","2021-02-26","2021-03-08","","","2021-04-07","2021-05-05","MWM","Christine Cocrelle","2021-06-14",1252,"2021-06-16","2022-09-13","False"
"Lafarge","","","Actif ","","","","","","","","","","","","","","","","","","True"
"HOP","MWM, MWM","En vie de solution","Actif ","2020-03-02","010978","","2020-03-31","2020-04-13","2020-04-16","2020-04-24","","2020-05-05","2020-05-05","2020-05-20","MWM, MWM","Christine Dodero","2020-10-07",413,"2020-10-07","2020-12-02","False"
"AREVA/ORANO","MWM, MWM","En vie de solution","Terminé","2020-03-09","002777;011358","","2020-05-05","2020-05-06","2020-05-20","2020-06-01","","2020-09-01","2020-09-01","","MWM, MWM","Zohra Abdelmalek","2021-03-16","","2021-03-17","2022-01-27","False"
"AIRBUS","GLM AC","En vie de solution","Actif ","2020-05-18","009041; 011149","MWM","2020-05-15","","","","","","2020-05-15","2020-05-18","GLM AC","Christine Cocrelle","2020-06-03",7100,"2020-06-04","2022-05-12","False"
"ARIANE","GLM AC","En vie de solution","Actif ","2020-05-12","010235","Ewocs","2020-05-11","","","","","","2020-05-11","2020-05-12","GLM AC","Christine Cocrelle","2020-05-12","","2020-05-13","2022-05-25","False"
"Engie - Inéo /Suez_VDS","MWM, MWM","En vie de solution","Terminé","","","","","","","","","","","","MWM, MWM","Elise Meffo","","","","","False"
"SNCF","EWOCS, EWOCS","En vie de solution","Terminé","2020-01-15","","","","","","","Renouvellement","","","2020-02-03","EWOCS, EWOCS","","","","","2020-02-03","False"
"Les MOUSQUETAIRES","EWOCS, EWOCS","En vie de solution","Terminé","2020-02-03","","","2020-02-18","","","","","","","2020-03-02","EWOCS, EWOCS","","","","","2020-03-02","False"
"Bureau Véritas","MWM","","","","","","","","","","Renouvellement","","","","MWM","","",7000,"","","True"
"Veolia VRD","MWM, MWM","En vie de solution","Actif ","2019-03-19","002778","","2019-03-15","2019-03-22","2019-04-15","2019-05-02","","2019-11-20","2020-05-11","2020-06-24","MWM, MWM","Christine Dodero","2020-08-27",800,"2020-08-28","2021-10-28","False"
"SAFRAN","EWOCS","En vie de solution","","","003477","","2020-09-24","","","","Renouvellement","","","","EWOCS","Christine Cocrelle","",18309,"","","True"
"NOKIA","EWOCS, EWOCS","En vie de solution","Terminé","","","","2020-09-23","","","","Renouvellement","2020-11-03","","","EWOCS, EWOCS","SALAHUN YEHAN","2020-11-09","","","2020-12-01","True"
"Bureau veritas","MWM, MWM","En vie de solution","Actif ","2020-08-18","381","","2020-10-14","2020-10-14","2020-10-21","2020-10-21","","2020-10-21","2020-10-30","2020-11-17","MWM, MWM","Elise Meffo","2020-11-17",7145,"2020-11-18","2020-12-08","False"
"LAFARGE","MWM, MWM","","Terminé","","","","","","","","","","","","MWM, MWM","Hadrien Robin","","","","","True"
"Société Générale","MWM, MWM","En vie de solution","","2021-08-30","000439","","2021-09-27","2021-10-04","2021-10-07","2021-10-14","","2021-10-20","2021-10-21","","MWM, MWM","Emilie Martin","",9000,"","2021-11-25","False"
"Air Liquide","EWOCS","En vie de solution","Actif ","2020-11-13","000478","","2020-11-24","2020-11-30","","","","","","2020-12-02","EWOCS","Christine Dodero","",13140,"2020-12-02","2020-12-02","True"
"Filiales Groupama","MWM, MWM","Formation Accès Externe","Stand by","","7909","","","","","","","","","","MWM, MWM","Myriam Lekkal","","","","","True"
"SYSTEME U","EWOCS","En vie de solution","Actif ","2020-12-15","004377; 007936","","2020-12-16","2021-01-04","2021-01-04","2021-01-04","Avenant","","","2021-01-04","EWOCS","Christine Dodero","",7200,"2021-03-01","2021-10-28","False"
"LEROY MERLIN","MWM, MWM","En vie de solution","Actif ","2021-02-15","11261","","2021-03-08","2021-04-06","2021-04-12","2021-04-26","","2021-05-11","2021-05-11","2021-05-06","MWM, MWM","Christine Dodero","2021-05-20",1500,"2021-06-02","2021-09-01","False"
"VEOLIA SADE","MWM","En vie de solution","Actif ","2020-12-15","002778","","2021-01-04","2021-01-08","2021-01-12","2021-01-12","","2021-01-12","2021-01-12","2021-01-20","MWM","Christine Dodero","2021-02-17",1239,"2021-02-18","2021-07-01","False"
